County,Year,Population Growth,Income Growth,Rent Growth,Home Price Appreciation,Vacancy Rate,Affordability Ratio,Average Home Value,Median Household Income,Median Gross Rent,Opportunity Index,Opportunity Rank,Opportunity Tier
Union,2024,3.11,2.57,4.97,4.46,3.68,13.32,401258.0,112322,1247,1.21,1,Very High
Delaware,2024,2.57,2.65,4.12,3.64,4.62,13.41,523298.0,133540,1492,0.9,2,Very High
Geauga,2024,0.0,7.02,6.39,5.25,5.06,12.05,347443.0,107860,1083,0.81,3,Very High
Perry,2024,0.17,4.21,6.88,8.74,10.58,13.82,213688.0,67460,777,0.74,4,Very High
Fairfield,2024,1.34,4.48,5.21,5.2,5.75,15.46,355471.0,90966,1172,0.73,5,Very High
Ashland,2024,-0.08,7.49,5.59,7.38,8.19,15.25,215785.0,69860,888,0.73,6,Very High
Licking,2024,0.85,4.19,7.91,5.57,6.35,15.32,327988.0,84426,1078,0.73,7,Very High
Highland,2024,0.26,6.09,3.04,8.17,11.02,14.23,181385.0,65785,780,0.64,8,Very High
Warren,2024,1.48,2.12,5.26,4.76,4.17,14.83,401435.0,110132,1361,0.6,9,Very High
Hardin,2024,-0.17,7.73,8.19,4.52,9.24,15.23,165034.0,62484,793,0.59,10,Very High
Lorain,2024,0.81,3.75,5.46,5.67,6.59,15.8,234549.0,73347,966,0.52,11,Very High
Miami,2024,0.68,3.56,2.55,6.81,4.91,15.09,246469.0,76817,966,0.48,12,Very High
Pickaway,2024,1.22,1.53,5.7,5.57,4.71,16.53,310205.0,74040,1020,0.45,13,Very High
Hancock,2024,-0.03,4.94,5.72,6.66,6.8,16.06,223422.0,73141,979,0.44,14,Very High
Clermont,2024,0.63,2.8,6.44,4.63,3.97,15.54,316725.0,85510,1107,0.41,15,Very High
Greene,2024,0.69,2.45,4.22,6.21,5.84,15.6,285482.0,87309,1135,0.37,16,Very High
Van Wert,2024,0.01,3.94,-1.26,9.6,8.14,13.82,164682.0,67917,782,0.34,17,Very High
Medina,2024,0.33,2.49,4.86,5.35,4.09,14.44,325902.0,94968,1143,0.32,18,Very High
Fayette,2024,-0.01,5.38,1.86,7.2,8.98,15.59,222851.0,63275,822,0.31,19,Very High
Richland,2024,-0.03,3.23,4.17,8.3,8.34,16.62,171037.0,59509,824,0.29,20,Very High
Pike,2024,-0.13,6.43,8.88,5.34,10.25,20.64,158952.0,52736,907,0.27,21,Very High
Madison,2024,0.67,4.58,-0.11,3.85,5.04,13.0,309997.0,87045,943,0.27,22,Very High
Vinton,2024,-0.44,2.83,9.8,6.23,10.23,15.79,167182.0,55336,728,0.25,23,High
Hamilton,2024,0.35,2.34,6.97,6.13,6.98,17.8,266072.0,72470,1075,0.25,24,High
Lake,2024,0.05,3.81,3.73,6.39,4.88,16.5,236635.0,80925,1113,0.25,25,High
Clark,2024,-0.21,3.76,3.81,8.05,8.43,16.57,181531.0,63132,872,0.24,26,High
Erie,2024,-0.48,5.21,5.78,7.21,15.71,15.55,209119.0,71993,933,0.23,27,High
Stark,2024,-0.01,3.34,3.65,7.06,7.14,16.06,191341.0,67934,909,0.22,28,High
Auglaize,2024,-0.18,2.89,1.76,6.82,5.56,13.24,212961.0,78660,868,0.19,29,High
Muskingum,2024,0.03,2.66,2.71,8.77,10.43,16.45,197312.0,60780,833,0.19,30,High
Portage,2024,0.33,4.04,2.7,6.04,8.52,16.85,250817.0,75766,1064,0.18,31,High
Montgomery,2024,0.11,2.7,5.99,7.28,8.51,18.62,187842.0,66139,1026,0.18,32,High
Clinton,2024,-0.0,3.35,1.9,6.54,7.08,15.51,232904.0,70407,910,0.11,33,High
Logan,2024,-0.11,3.42,1.56,8.5,18.04,14.17,233302.0,71551,845,0.1,34,High
Guernsey,2024,-0.16,4.88,7.6,4.87,14.28,17.73,154276.0,58478,864,0.1,35,High
Holmes,2024,0.24,1.83,5.56,3.19,8.01,12.86,328399.0,76140,816,0.09,36,High
Huron,2024,-0.16,2.89,2.91,6.55,8.23,14.99,176634.0,67878,848,0.09,37,High
Champaign,2024,0.08,1.77,2.38,6.58,7.66,14.37,225121.0,75556,905,0.08,38,High
Seneca,2024,-0.17,1.55,5.16,6.59,7.1,15.56,161186.0,66025,856,0.08,39,High
Ross,2024,-0.33,2.48,5.59,7.24,7.12,17.73,187018.0,61303,906,0.07,40,High
Franklin,2024,0.86,1.87,5.6,5.39,7.12,20.78,315188.0,75176,1302,0.06,41,High
Mahoning,2024,-0.25,2.46,2.06,8.76,9.19,16.67,147122.0,56942,791,0.06,42,High
Butler,2024,0.76,0.49,3.37,5.44,5.5,16.69,302021.0,81590,1135,0.05,43,High
Putnam,2024,-0.11,2.59,-0.23,5.68,5.27,12.08,217111.0,84928,855,0.05,44,High
Fulton,2024,-0.46,-0.0,3.73,8.16,4.24,14.21,210472.0,72864,863,0.04,45,Moderate
Lucas,2024,-0.17,3.54,2.52,7.42,8.83,18.01,157168.0,62224,934,0.02,46,Moderate
Crawford,2024,-0.13,4.63,4.34,3.93,8.85,16.42,145255.0,58044,794,0.0,47,Moderate
Jefferson,2024,-0.52,3.64,5.43,6.56,12.51,16.97,116545.0,59055,835,-0.02,48,Moderate
Darke,2024,-0.12,-0.26,4.28,6.65,5.98,14.5,185311.0,64486,779,-0.03,49,Moderate
Knox,2024,0.4,-0.15,2.7,7.11,9.92,15.43,258599.0,73878,950,-0.03,50,Moderate
Defiance,2024,0.22,-0.75,2.42,6.98,7.47,13.89,166596.0,73064,846,-0.03,51,Moderate
Morrow,2024,0.54,5.96,-0.53,1.78,8.44,14.94,255911.0,75283,937,-0.03,52,Moderate
Shelby,2024,-0.16,1.59,1.99,6.6,6.17,14.96,208394.0,73978,922,-0.03,53,Moderate
Cuyahoga,2024,-0.28,2.62,5.47,7.62,9.88,19.73,202800.0,64468,1060,-0.04,54,Moderate
Coshocton,2024,0.18,1.63,5.81,4.58,9.33,16.52,166551.0,55577,765,-0.04,55,Moderate
Paulding,2024,-0.05,-0.64,8.27,5.13,10.84,14.39,146492.0,67731,812,-0.05,56,Moderate
Morgan,2024,-0.78,6.04,4.07,6.49,21.95,15.0,153433.0,59351,742,-0.05,57,Moderate
Trumbull,2024,-0.22,2.45,1.79,7.58,8.38,16.95,143928.0,56435,797,-0.05,58,Moderate
Brown,2024,0.31,1.83,-0.61,6.67,12.4,13.76,242049.0,71270,817,-0.06,59,Moderate
Hocking,2024,-0.5,2.6,0.25,8.73,11.1,15.4,269582.0,62960,808,-0.08,60,Moderate
Marion,2024,-0.19,3.6,1.65,6.48,9.78,17.46,160423.0,59371,864,-0.1,61,Moderate
Summit,2024,-0.04,0.85,2.81,6.81,6.72,17.19,208395.0,71622,1026,-0.13,62,Moderate
Carroll,2024,-0.27,0.25,10.64,4.68,16.31,15.97,176754.0,64835,863,-0.15,63,Moderate
Henry,2024,-0.05,1.05,-1.96,6.27,5.33,12.72,185196.0,80099,849,-0.15,64,Moderate
Allen,2024,-0.33,3.29,2.67,5.37,7.81,17.28,169102.0,64038,922,-0.17,65,Moderate
Wood,2024,0.2,1.49,2.32,4.01,5.88,15.72,228490.0,74216,972,-0.17,66,Moderate
Ashtabula,2024,-0.18,4.0,1.47,6.15,15.56,17.21,157599.0,57728,828,-0.21,67,Low
Adams,2024,0.11,1.5,4.57,6.37,18.16,17.48,171278.0,50264,732,-0.22,68,Low
Tuscarawas,2024,-0.22,0.85,3.65,5.1,5.92,16.75,185801.0,65044,908,-0.25,69,Low
Sandusky,2024,0.01,-0.33,-0.38,6.85,6.85,15.08,167067.0,62295,783,-0.28,70,Low
Athens,2024,0.27,4.02,3.99,3.12,13.06,20.12,168423.0,56001,939,-0.31,71,Low
Monroe,2024,-0.61,1.99,7.35,3.7,20.77,13.41,137476.0,60134,672,-0.31,72,Low
Wyandot,2024,-0.47,-2.94,5.35,5.76,9.03,14.22,173375.0,69768,827,-0.44,73,Low
Mercer,2024,0.11,-1.61,-0.99,5.12,9.36,12.57,240476.0,76782,804,-0.46,74,Low
Preble,2024,-0.09,-2.83,-1.12,7.15,7.8,13.76,210686.0,69223,794,-0.49,75,Low
Washington,2024,-0.57,3.66,2.9,2.13,11.34,16.07,168173.0,63603,852,-0.49,76,Low
Scioto,2024,-0.67,2.09,-0.93,7.27,12.72,17.59,125249.0,50609,742,-0.53,77,Low
Columbiana,2024,-0.49,-0.5,2.72,4.74,10.11,15.59,150613.0,58180,756,-0.57,78,Low
Lawrence,2024,-0.99,6.35,2.17,1.63,14.64,17.45,130461.0,58325,848,-0.61,79,Low
Gallia,2024,-0.32,0.66,1.88,3.9,13.74,17.17,158052.0,56830,813,-0.69,80,Low
Williams,2024,-0.39,-1.27,-1.74,5.6,6.57,15.55,166921.0,61048,791,-0.69,81,Low
Harrison,2024,-0.71,1.05,4.25,4.7,19.44,17.31,141104.0,54414,785,-0.7,82,Low
Jackson,2024,0.19,-2.23,-0.52,3.79,11.1,16.16,150289.0,57106,769,-0.81,83,Low
Noble,2024,0.21,1.33,-3.15,2.84,20.33,15.12,175434.0,56098,707,-0.85,84,Low
Ottawa,2024,-0.42,0.49,2.31,5.58,36.0,14.66,260958.0,76101,930,-0.87,85,Low
Belmont,2024,-0.77,-2.39,3.12,2.02,13.73,16.69,123733.0,57017,793,-1.18,86,Low
Meigs,2024,-0.8,0.37,2.56,-0.29,14.74,18.48,110231.0,46873,722,-1.3,87,Low
Wayne,2024,-0.03,2.52,3.77,-14.55,5.51,14.37,243129.0,73574,881,-1.65,88,Low
